pdfExtraido,pdf01Real
1.00,102.00
2.00,115.00
3.00,116.00
4.00,117.00
5.00,118.00
6.00,119.00
7.00,120.00
8.00,125.00
9.00,127.00
10.00,128.00
11.00,129.00
12.00,130.00
13.00,137.00
14.00,138.00
15.00,139.00
16.00,140.00
17.00,141.00
18.00,142.00
19.00,143.00
20.00,144.00
21.00,145.00
22.00,146.00
23.00,147.00
24.00,148.00
25.00,149.00
26.00,150.00
27.00,153.00
28.00,154.00
29.00,156.00
30.00,157.00
31.00,158.00
32.00,159.00
33.00,160.00
34.00,161.00
35.00,162.00
36.00,163.00
37.00,164.00
38.00,165.00
39.00,166.00
40.00,172.00
41.00,173.00
42.00,174.00
43.00,175.00
44.00,176.00
45.00,177.00
46.00,178.00
47.00,179.00
48.00,180.00
49.00,181.00
50.00,182.00
51.00,183.00
52.00,184.00
53.00,185.00
54.00,186.00
55.00,187.00
56.00,188.00
57.00,189.00
58.00,190.00
59.00,191.00
60.00,192.00
61.00,193.00
62.00,194.00
63.00,195.00
64.00,196.00
65.00,197.00
66.00,198.00
67.00,199.00
68.00,200.00
69.00,201.00
70.00,202.00
71.00,203.00
72.00,204.00
73.00,205.00
74.00,206.00
75.00,214.00
76.00,222.00
77.00,223.00
78.00,224.00
79.00,225.00
80.00,226.00
81.00,227.00
